"Location","Grid_ID","Block","StationID","Latitude","Longitude","Type"
"AN",4,1,"AN4",28.161098,-82.820803,"Target"
"AN",23,1,"AN23",28.185533,-82.808768,"Target"
"AN",41,2,"AN41",28.205537,-82.857812,"Target"
"AN",59,2,"AN59",28.214003,-82.800833,"Target"
"AN",61,3,"AN61",28.214051,-82.792684,"Target"
"AN",87,3,"AN87",28.226255,-82.788699,"Target"
"AN",93,4,"AN93",28.230025,-82.837631,"Target"
"AN",103,4,"AN103",28.2344,-82.784684,"Target"
"AN",124,5,"AN124",28.254701,-82.784832,"Target"
"AN",130,5,"AN130",28.258762,-82.784862,"Target"
"AN",172,6,"AN172",28.274932,-82.797212,"Target"
"AN",152,6,"AN152",28.266906,-82.780845,"Target"
"AN",191,7,"AN191",28.287113,-82.797302,"Target"
"AN",189,7,"AN189",28.287066,-82.805457,"Target"
"AN",225,8,"AN225",28.299247,-82.805549,"Target"
"AN",215,8,"AN215",28.295352,-82.776975,"Target"
"AN",264,9,"AN264",28.319828,-82.756759,"Target"
"AN",244,9,"AN244",28.307579,-82.768907,"Target"
"AN",273,10,"AN273",28.327881,-82.769053,"Target"
"AN",279,10,"AN279",28.331705,-82.809873,"Target"
"AN",329,11,"AN329",28.356042,-82.814137,"Target"
"AN",302,11,"AN302",28.34013,-82.756903,"Target"
"AN",359,12,"AN359",28.368575,-82.753024,"Target"
"AN",343,12,"AN343",28.360454,-82.752966,"Target"
"AN",388,13,"AN388",28.384748,-82.765382,"Target"
"AN",389,13,"AN389",28.384771,-82.761301,"Target"
"AN",407,14,"AN407",28.392937,-82.753196,"Target"
"AN",411,14,"AN411",28.393026,-82.73687,"Target"
"AN",444,15,"AN444",28.405185,-82.741036,"Target"
"AN",449,15,"AN449",28.405294,-82.720627,"Target"
"AN",465,16,"AN465",28.413193,-82.761504,"Target"
"AN",463,16,"AN463",28.409398,-82.71249,"Target"
"AN",497,17,"AN497",28.421514,-82.724819,"Target"
"AN",501,17,"AN501",28.425328,-82.769756,"Target"
"AN",524,18,"AN524",28.429613,-82.728958,"Target"
"AN",516,18,"AN516",28.429434,-82.76162,"Target"
"AN",15,1,"AN15",28.181276,-82.841324,"Extra"
"AN",31,2,"AN31",28.193701,-82.800682,"Extra"
"AN",90,3,"AN90",28.226325,-82.776474,"Extra"
"AN",99,4,"AN99",28.230409,-82.772428,"Extra"
"AN",123,5,"AN123",28.254678,-82.788908,"Extra"
"AN",157,6,"AN157",28.267021,-82.760462,"Extra"
"AN",199,7,"AN199",28.29115,-82.80141,"Extra"
"AN",237,8,"AN237",28.303518,-82.768878,"Extra"
"AN",261,9,"AN261",28.31976,-82.768995,"Extra"
"AN",283,10,"AN283",28.331964,-82.765003,"Extra"
"AN",318,11,"AN318",28.348251,-82.75696,"Extra"
"AN",354,12,"AN354",28.364559,-82.744834,"Extra"
"AN",381,13,"AN381",28.380733,-82.757191,"Extra"
"AN",392,14,"AN392",28.384839,-82.749057,"Extra"
"AN",440,15,"AN440",28.405095,-82.757364,"Extra"
"AN",480,16,"AN480",28.417366,-82.741121,"Extra"
"AN",489,17,"AN489",28.421336,-82.757479,"Extra"
"AN",517,18,"AN517",28.429457,-82.757537,"Extra"
